essay_id,window_idx,target_start,k,nll_k,gain_k
FFBA3014CDC7,9,485,24,3.499828577041626,0.8521176076704453
FFBA3014CDC7,9,485,32,3.476550340652466,0.8753958440596055
FFBA3014CDC7,9,485,48,3.379276394844055,0.9726697898680161
FFBA3014CDC7,9,485,64,3.1382027864456177,1.2137433982664536
FFBA3014CDC7,9,485,96,3.1841951608657837,1.1677510238462876
FFBA3014CDC7,9,485,128,3.11150860786438,1.2404375768476914
FFBA3014CDC7,10,520,0,4.693705897177419,0.0
FFBA3014CDC7,10,520,2,4.72429084777832,-0.030584950600901273
FFBA3014CDC7,10,520,4,4.6977081298828125,-0.00400223270539346
FFBA3014CDC7,10,520,8,4.4265594482421875,0.26714644893523154
FFBA3014CDC7,10,520,12,4.401432037353516,0.2922738598239034
FFBA3014CDC7,10,520,16,4.367315292358398,0.3263906048190206
FFBA3014CDC7,10,520,24,4.202180862426758,0.4915250347506612
FFBA3014CDC7,10,520,32,4.156065940856934,0.5376399563204854
FFBA3014CDC7,10,520,48,4.073634147644043,0.6200717495333761
FFBA3014CDC7,10,520,64,4.013075351715088,0.6806305454623311
FFBA3014CDC7,10,520,96,3.974102020263672,0.7196038769137472
FFBA3014CDC7,10,520,128,3.9971280097961426,0.6965778873812765
FFBA3014CDC7,11,562,0,3.8933841336158013,0.0
FFBA3014CDC7,11,562,2,3.3599743843078613,0.5334097493079399
FFBA3014CDC7,11,562,4,3.065865159034729,0.8275189745810723
FFBA3014CDC7,11,562,8,2.9130120277404785,0.9803721058753228
FFBA3014CDC7,11,562,12,2.796913504600525,1.0964706290152764
FFBA3014CDC7,11,562,16,2.7630465030670166,1.1303376305487847
FFBA3014CDC7,11,562,24,2.907708168029785,0.9856759655860161
FFBA3014CDC7,11,562,32,2.883206605911255,1.0101775277045464
FFBA3014CDC7,11,562,48,2.7361018657684326,1.1572822678473687
FFBA3014CDC7,11,562,64,2.6975557804107666,1.1958283532050347
FFBA3014CDC7,11,562,96,2.710238456726074,1.183145676889727
FFBA3014CDC7,11,562,128,2.5424630641937256,1.3509210694220757
FFBA3014CDC7,12,606,0,3.9002262853807017,0.0
FFBA3014CDC7,12,606,2,3.7831860184669495,0.11704026691375224
FFBA3014CDC7,12,606,4,3.820370227098465,0.07985605828223674
FFBA3014CDC7,12,606,8,3.697037100791931,0.20318918458877055
FFBA3014CDC7,12,606,12,3.5169758796691895,0.38325040571151225
FFBA3014CDC7,12,606,16,3.478060305118561,0.4221659802621409
FFBA3014CDC7,12,606,24,3.3417577147483826,0.5584685706323191
FFBA3014CDC7,12,606,32,3.332449495792389,0.5677767895883128
FFBA3014CDC7,12,606,48,3.306335210800171,0.5938910745805308
FFBA3014CDC7,12,606,64,3.2481138706207275,0.6521124147599742
FFBA3014CDC7,12,606,96,3.2323590517044067,0.667867233676295
FFBA3014CDC7,12,606,128,3.073185831308365,0.8270404540723368
FFBA3014CDC7,13,645,0,2.8865792520584597,0.0
FFBA3014CDC7,13,645,2,2.893066108226776,-0.006486856168316457
FFBA3014CDC7,13,645,4,2.849092736840248,0.03748651521821156
FFBA3014CDC7,13,645,8,2.6617830097675323,0.22479624229092732
FFBA3014CDC7,13,645,12,2.4515939354896545,0.4349853165688051
FFBA3014CDC7,13,645,16,2.176841661334038,0.7097375907244219
FFBA3014CDC7,13,645,24,2.1313876807689667,0.755191571289493
FFBA3014CDC7,13,645,32,1.966609351336956,0.9199699007215036
FFBA3014CDC7,13,645,48,1.9143172055482864,0.9722620465101732
FFBA3014CDC7,13,645,64,1.8638996928930283,1.0226795591654314
FFBA3014CDC7,13,645,96,1.8186608627438545,1.0679183893146051
FFBA3014CDC7,13,645,128,1.744576871395111,1.1420023806633486
FFBA3014CDC7,14,684,0,3.6428931451612905,0.0
FFBA3014CDC7,14,684,2,3.4749755859375,0.16791755922379048
FFBA3014CDC7,14,684,4,3.3175430297851562,0.32535011537613423
FFBA3014CDC7,14,684,8,3.2187652587890625,0.424127886372228
FFBA3014CDC7,14,684,12,3.227935791015625,0.4149573541456655
FFBA3014CDC7,14,684,16,3.1277084350585938,0.5151847101026967
FFBA3014CDC7,14,684,24,2.9918594360351562,0.6510337091261342
