pair_type,child_id,log_slope_local_diff,auc_log_k_diff,auc_linear_k_diff,early_ratio_diff,mean_gain_128_diff
within,1091,0.0218280839719725,0.22592213079053725,2.330619910263181,0.0684072892159242,0.0344392860608711
within,1092,0.004047193672446714,0.3369839204183158,10.585218327276209,0.01458697647097884,0.13885630138458782
within,1092,0.08412337390768276,0.49600115637757014,26.972059548670302,0.07993756910647487,0.3700910491328091
within,1092,0.08007618023523605,0.15901723595925432,16.386841221394093,0.09452454557745371,0.23123474774822128
within,1094,0.04288768017956668,0.42995258518058677,19.149448906798483,0.015375971043767978,0.1065182385906096
within,1094,0.06456443783465088,0.6035809568912383,27.45120002328153,0.03942739302886744,0.34970448103643204
within,1094,0.10745211801421756,1.033533542071825,46.60064893008001,0.024051421985099464,0.45622271962704164
within,1097,0.06589020821114516,0.8454723181788659,33.94012792994906,0.1341601257667383,0.2969697306233072
within,1097,0.10596459887916759,1.385618426330717,56.314661574171424,0.18585574217652,0.37553105546582155
within,1097,0.04007439066802243,0.540146108151851,22.374533644222367,0.05169561640978171,0.07856132484251432
within,1098,0.029235054628000523,0.7485594393001813,26.252331350695698,0.07884006754165362,0.2260709081926653
within,1098,0.10488710952412666,1.7351419223734346,66.28200032187087,0.08919683016182112,0.5663458960671579
within,1098,0.07565205489612614,0.9865824830732532,40.02966897117517,0.010356762620167492,0.3402749878744926
within,1099,0.03707163459169249,0.10229585462128998,8.77798534362546,0.041574127390481164,0.1455778391130509
within,1099,0.03901465330460685,0.17654911899265047,10.910714367897299,0.008766144098705908,0.2015973123811905
within,1099,0.0019430187129143572,0.07425326437136048,2.132729024271839,0.05034027148918707,0.05601947326813961
within,2001,0.0066079777683634155,0.041314946842607725,1.0917042210217005,0.09782183039364267,0.0848398675360984
within,2003,0.02106356116704322,0.2559200169923175,4.07177536696679,0.02954857425127222,0.08283494557103799
within,2004,0.01671093877072999,0.2987968331300461,11.108262907160906,0.006897278571819432,0.07449492619883658
within,2007,0.03861741762968923,0.12219010743832204,1.8775172626299081,0.0064160651210466435,0.020995720548014463
within,2008,0.1066086187347528,0.26730222583275864,23.36810069910939,0.031181947164019674,0.20381697567720547
within,2009,0.08163584360882842,0.08927457249303306,8.74205369641706,0.04079007730382944,0.11895971990400755
within,2010,0.07887867594357695,0.9827714663612293,40.37739748512544,0.03430523401451668,0.3966851974687269
within,2014,0.0569954126151862,0.4004907139283187,19.94067360989507,0.04251238606496932,0.24927149491925404
within,2018,0.1506375210907434,1.2904876009936803,61.029071856842904,0.08190275613005737,0.5210295800720495
within,2020,0.07091493948742472,1.7532324699934247,62.15328111975424,0.07355209560088338,0.4954630107648912
within,2029,0.08687660987823592,0.8222469305851563,37.771088788586184,0.06403294920773228,0.2501768819747425
between,1059_vs_1022,0.005999963582880408,0.4692334375801934,14.550403535077635,0.12909975937210538,0.04870778610629434
between,1054_vs_1044,0.01573410345942816,0.5026982446857238,11.61186021533942,0.08639561742790769,0.12111461412522107
between,1086_vs_1027,0.11683160276597271,0.9496939583899238,45.52878312333942,0.07070135382444365,0.43186594401636413
between,1058_vs_1054,0.06833385642256817,0.35351800062393046,1.0163637173752136,0.06344393707772233,0.0658602846966636
between,1041_vs_1039,0.0460707011697275,0.4164682250811653,17.92940868148881,0.0028873351168999806,0.17223575019067328
between,1039_vs_1094,0.030369874996294566,0.45035742543928237,8.465424637544544,0.10819610311549,0.016192168478042612
between,1016_vs_1005,3.2773235125738154e-06,0.5985963414130477,17.458631378412207,0.04365181642974458,0.11447745561599754
between,1068_vs_1042,0.013871794861210152,0.8981668006088697,24.71638720420097,0.013861436680377426,0.17071299283735186
between,1041_vs_1065,0.006571452167184411,0.0017855696947757238,0.17760646727782614,0.004011017798705496,8.45405363267826e-05
between,1018_vs_1041,0.13406278471466793,0.82741923871599,44.69416103612994,0.02324787505071757,0.3404848131921987
between,1084_vs_1048,0.04728895320307813,0.33526684803589557,17.311203280860383,0.06561947201167773,0.20697225457237645
between,1010_vs_1009,0.13586061341756,0.9966594174891541,48.79613988428346,0.022347296501024405,0.6307987199194969
between,1010_vs_1091,0.071521472914366,0.7934336197515068,32.597860837751796,0.061432733089260005,0.31379243707464566
between,1056_vs_1012,0.07320648704592181,0.011900190342158723,10.722523446429136,0.18084608336415037,0.23077982914063244
between,1040_vs_1006,0.038412935229869494,0.13123703899680095,10.155436353553682,0.1455781917607103,0.29574283938254076
between,1040_vs_1009,0.02871933442031016,0.007105327699884256,4.524305544649394,0.06400007263547058,0.22977710063419043
between,1027_vs_1012,0.04639493038463527,0.13559657495159883,2.5507441522614442,0.04229490266380065,0.12631644414317256
between,1012_vs_1008,0.11175247238907732,0.5695282841953246,33.66979741778587,0.014970173359981076,0.3575438677904108
between,1099_vs_1056,0.07982182641282953,0.21581251226746456,18.24298782713953,0.13592411299130785,0.25865618807654256
between,1099_vs_1006,0.02729930858808144,0.3274905418590306,13.183719053936528,0.07090168038965472,0.0027556113658413484
